2.5000E-02 6.1982E+02 1.1310E+03 1.4410E+03 1.9070E+03 2.5080E+03 3.1310E+03 3.5870E+03 3.7470E+03 3.6400E+03 3.4600E+03 3.3310E+03 3.2740E+03 3.5650E+03 4.0660E+03 4.5520E+03 4.8230E+03 4.8250E+03 4.7420E+03
3.0000E-02 6.6280E+02 1.2398E+03 1.5970E+03 2.1150E+03 2.7830E+03 3.4787E+03 3.9950E+03 4.1940E+03 4.1080E+03 3.9560E+03 3.8540E+03 3.7950E+03 4.1240E+03 4.6790E+03 5.2070E+03 5.4890E+03 5.4640E+03 5.3360E+03
4.0000E-02 7.2900E+02 1.4264E+03 1.8750E+03 2.4880E+03 3.2750E+03 4.1018E+03 4.7330E+03 5.0140E+03 4.9830E+03 4.9090E+03 4.8770E+03 4.8200E+03 5.2220E+03 5.8770E+03 6.4830E+03 6.7830E+03 6.7060E+03 6.4850E+03
5.0000E-02 7.7400E+02 1.5820E+03 2.1180E+03 2.8160E+03 3.7070E+03 4.6520E+03 5.3920E+03 5.7570E+03 5.7950E+03 5.8160E+03 5.8710E+03 5.8220E+03 6.2950E+03 7.0430E+03 7.7220E+03 8.0390E+03 7.9140E+03 7.6070E+03
6.0000E-02 8.0260E+02 1.7134E+03 2.3350E+03 3.1080E+03 4.0940E+03 5.1449E+03 5.9870E+03 6.4370E+03 6.5530E+03 6.6830E+03 6.8340E+03 6.7970E+03 7.3390E+03 8.1770E+03 8.9250E+03 9.2610E+03 9.0970E+03 8.7110E+03
7.0000E-02 8.1839E+02 1.8242E+03 2.5280E+03 3.3710E+03 4.4410E+03 5.5891E+03 6.5270E+03 7.0640E+03 7.2630E+03 7.5080E+03 7.7620E+03 7.7400E+03 8.3510E+03 9.2740E+03 1.0090E+04 1.0450E+04 1.0250E+04 9.7980E+03
8.0000E-02 8.2410E+02 1.9178E+03 2.7000E+03 3.6090E+03 4.7550E+03 5.9908E+03 7.0190E+03 7.6410E+03 7.9260E+03 8.2910E+03 8.6520E+03 8.6470E+03 9.3240E+03 1.0330E+04 1.1210E+04 1.1590E+04 1.1370E+04 1.0860E+04
9.0000E-02 8.2216E+02 1.9965E+03 2.8550E+03 3.8220E+03 5.0370E+03 6.3543E+03 7.4670E+03 8.1710E+03 8.5440E+03 9.0310E+03 9.4990E+03 9.5140E+03 1.0260E+04 1.1340E+04 1.2280E+04 1.2690E+04 1.2460E+04 1.1900E+04
1.0000E-01 8.1450E+02 2.0620E+03 2.9920E+03 4.0150E+03 5.2920E+03 6.6825E+03 7.8740E+03 8.6580E+03 9.1190E+03 9.7270E+03 1.0300E+04 1.0340E+04 1.1140E+04 1.2300E+04 1.3300E+04 1.3750E+04 1.3510E+04 1.2920E+04
1.5000E-01 7.3600E+02 2.2400E+03 3.4730E+03 4.7100E+03 6.2130E+03 7.8752E+03 9.3820E+03 1.0520E+04 1.1390E+04 1.2560E+04 1.3630E+04 1.3790E+04 1.4870E+04 1.6350E+04 1.7620E+04 1.8240E+04 1.8060E+04 1.7430E+04
2.0000E-01 6.5850E+02 2.2560E+03 3.6970E+03 5.0700E+03 6.6970E+03 8.5203E+03 1.0220E+04 1.1610E+04 1.2810E+04 1.4430E+04 1.5900E+04 1.6180E+04 1.7460E+04 1.9170E+04 2.0670E+04 2.1480E+04 2.1450E+04 2.0910E+04
2.5000E-01 5.9547E+02 2.1900E+03 3.7590E+03 5.2160E+03 6.9030E+03 8.7910E+03 1.0620E+04 1.2190E+04 1.3630E+04 1.5580E+04 1.7330E+04 1.7720E+04 1.9150E+04 2.1020E+04 2.2680E+04 2.3670E+04 2.3820E+04 2.3460E+04
3.0000E-01 5.4350E+02 2.0774E+03 3.7120E+03 5.2130E+03 6.9140E+03 8.7958E+03 1.0710E+04 1.2390E+04 1.3990E+04 1.6160E+04 1.8100E+04 1.8580E+04 2.0110E+04 2.2080E+04 2.3860E+04 2.5000E+04 2.5340E+04 2.5160E+04
4.0000E-01 4.6430E+02 1.8140E+03 3.4820E+03 5.0040E+03 6.6750E+03 8.4440E+03 1.0440E+04 1.2220E+04 1.4010E+04 1.6400E+04 1.8550E+04 1.9160E+04 2.0790E+04 2.2850E+04 2.4770E+04 2.6140E+04 2.6800E+04 2.6990E+04
5.0000E-01 4.0650E+02 1.5990E+03 3.2160E+03 4.7260E+03 6.3450E+03 8.0290E+03 1.0010E+04 1.1810E+04 1.3670E+04 1.6140E+04 1.8370E+04 1.9080E+04 2.0750E+04 2.2840E+04 2.4820E+04 2.6340E+04 2.7250E+04 2.7750E+04
6.0000E-01 3.6240E+02 1.4301E+03 2.9670E+03 4.4510E+03 6.0210E+03 7.6515E+03 9.5720E+03 1.1360E+04 1.3240E+04 1.5730E+04 1.7970E+04 1.8750E+04 2.0430E+04 2.2530E+04 2.4550E+04 2.6180E+04 2.7270E+04 2.8010E+04
7.0000E-01 3.2762E+02 1.2960E+03 2.7520E+03 4.2070E+03 5.7330E+03 7.3145E+03 9.1790E+03 1.0950E+04 1.2830E+04 1.5300E+04 1.7540E+04 1.8370E+04 2.0060E+04 2.2140E+04 2.4190E+04 2.5890E+04 2.7140E+04 2.8070E+04
8.0000E-01 2.9970E+02 1.1872E+03 2.5650E+03 3.9880E+03 5.4760E+03 7.0178E+03 8.8290E+03 1.0570E+04 1.2440E+04 1.4880E+04 1.7100E+04 1.7980E+04 1.9660E+04 2.1740E+04 2.3790E+04 2.5560E+04 2.6920E+04 2.8000E+04
9.0000E-01 2.7671E+02 1.0968E+03 2.4010E+03 3.7920E+03 5.2460E+03 6.7507E+03 8.5140E+03 1.0230E+04 1.2080E+04 1.4480E+04 1.6680E+04 1.7590E+04 1.9270E+04 2.1330E+04 2.3390E+04 2.5200E+04 2.6660E+04 2.7860E+04
1.0000E+00 2.5740E+02 1.0210E+03 2.2570E+03 3.6150E+03 5.0380E+03 6.5068E+03 8.2280E+03 9.9160E+03 1.1740E+04 1.4100E+04 1.6270E+04 1.7210E+04 1.8880E+04 2.0930E+04 2.2990E+04 2.4830E+04 2.6370E+04 2.7670E+04
1.5000E+00 1.9340E+02 7.6870E+02 1.7390E+03 2.9260E+03 4.2110E+03 5.5405E+03 7.0850E+03 8.6400E+03 1.0330E+04 1.2470E+04 1.4480E+04 1.5520E+04 1.7130E+04 1.9080E+04 2.1090E+04 2.3010E+04 2.4750E+04 2.6340E+04
2.0000E+00 1.5690E+02 6.2390E+02 1.4200E+03 2.4520E+03 3.6170E+03 4.8370E+03 6.2470E+03 7.6840E+03 9.2540E+03 1.1190E+04 1.3050E+04 1.4130E+04 1.5680E+04 1.7520E+04 1.9460E+04 2.1360E+04 2.3160E+04 2.4870E+04
2.5000E+00 1.3278E+02 5.2900E+02 1.2060E+03 2.1120E+03 3.1700E+03 4.2970E+03 5.5960E+03 6.9350E+03 8.3960E+03 1.0170E+04 1.1900E+04 1.2990E+04 1.4470E+04 1.6230E+04 1.8080E+04 1.9940E+04 2.1740E+04 2.3480E+04
3.0000E+00 1.1600E+02 4.6073E+02 1.0520E+03 1.8560E+03 2.8200E+03 3.8679E+03 5.0720E+03 6.3240E+03 7.6910E+03 9.3300E+03 1.0940E+04 1.2030E+04 1.3460E+04 1.5130E+04 1.6900E+04 1.8710E+04 2.0480E+04 2.2210E+04
4.0000E+00 9.3190E+01 3.7074E+02 8.4510E+02 1.4990E+03 2.3110E+03 3.2224E+03 4.2740E+03 5.3840E+03 6.5950E+03 8.0180E+03 9.4440E+03 1.0510E+04 1.1830E+04 1.3350E+04 1.4980E+04 1.6660E+04 1.8350E+04 2.0010E+04
5.0000E+00 7.8420E+01 3.1180E+02 7.1110E+02 1.2630E+03 1.9610E+03 2.7500E+03 3.6950E+03 4.6920E+03 5.7800E+03 7.0410E+03 8.3240E+03 9.3500E+03 1.0580E+04 1.1970E+04 1.3480E+04 1.5040E+04 1.6630E+04 1.8220E+04
6.0000E+00 6.8010E+01 2.6986E+02 6.1650E+02 1.0960E+03 1.7070E+03 2.3945E+03 3.2570E+03 4.1600E+03 5.1490E+03 6.2830E+03 7.4510E+03 8.4330E+03 9.5790E+03 1.0870E+04 1.2270E+04 1.3730E+04 1.5220E+04 1.6720E+04
7.0000E+00 6.0201E+01 2.3918E+02 5.4590E+02 9.7040E+02 1.5140E+03 2.1249E+03 2.9130E+03 3.7380E+03 4.6450E+03 5.6750E+03 6.7490E+03 7.6870E+03 8.7620E+03 9.9670E+03 1.1270E+04 1.2630E+04 1.4040E+04 1.5460E+04
8.0000E+00 5.4170E+01 2.1547E+02 4.9090E+02 8.7270E+02 1.3630E+03 1.9152E+03 2.6360E+03 3.3960E+03 4.2330E+03 5.1790E+03 6.1720E+03 7.0670E+03 8.0800E+03 9.2080E+03 1.0430E+04 1.1710E+04 1.3040E+04 1.4380E+04
9.0000E+00 4.9319E+01 1.9613E+02 4.4690E+02 7.9440E+02 1.2410E+03 1.7455E+03 2.4100E+03 3.1140E+03 3.8910E+03 4.7650E+03 5.6900E+03 6.5450E+03 7.5020E+03 8.5640E+03 9.7090E+03 1.0920E+04 1.2170E+04 1.3450E+04
1.0000E+01 4.5320E+01 1.8020E+02 4.1070E+02 7.3010E+02 1.1410E+03 1.6049E+03 2.2210E+03 2.8760E+03 3.6010E+03 4.4150E+03 5.2810E+03 6.0980E+03 7.0050E+03 8.0080E+03 9.0890E+03 1.0230E+04 1.1420E+04 1.2630E+04
